Timestamp,How old are you?,What gender do you identify as?,How many hours of sleep do you usually get?,How many days a week do you usually get this amount of sleep?,How would you rate the quality of your sleep on average?,What time do you usually go to bed?,How often do you usually exercise?,How would you rate the intensity of your exercise?,Does your family have a history of mental health issues?,I found it difficult to relax.,I found it hard to work up the initiative to do things.,I felt like I was close to panic.,I felt like I had nothing to look forward to.,I found myself feeling overwhelmed. 
3/12/2020 12:07:15,20,Female,8-10 hours,4,4,12:00:00 PM,A few times a week,"Light (eg. walking, jogging), Moderate (eg. weight training, swimming, a workout)",No,1,2,0,0,2
3/12/2020 12:27:53,22,Female,6-8 hours,5,5,10:00:00 AM,Rarely,"Light (eg. walking, jogging)",No,0,1,0,0,0
3/12/2020 12:33:33,20,Female,6-8 hours,5,4,10:30:00 AM,A few times a week,"Moderate (eg. weight training, swimming, a workout), Vigorous (eg. sprints, high exertion workouts)",No,1,0,1,0,1
3/12/2020 12:40:45,20,Female,8-10 hours,5,2,12:00:00 PM,A few times a week,"Light (eg. walking, jogging)",Not sure,3,3,2,1,3
3/12/2020 12:54:07,32,Male,4-6 hours,5,2,1:30:00 AM,A few times a week,"Light (eg. walking, jogging)",No,1,1,1,1,1
3/12/2020 12:59:53,24,Female,6-8 hours,6,4,11:00:00 AM,Everyday,"Moderate (eg. weight training, swimming, a workout)",No,2,1,3,1,3
3/12/2020 13:05:32,20,Female,6-8 hours,7,4,1:00:00 AM,Never,"(I selected ""Never"" in the question above so this question does not apply to me)",Yes,3,1,2,1,3
3/12/2020 13:10:42,22,Female,8-10 hours,7,4,10:00:00 AM,Once or twice a week,"Light (eg. walking, jogging)",Yes,2,2,1,1,2
3/12/2020 13:12:11,24,Female,6-8 hours,4,3,10:00:00 PM,Nearly everyday,"Moderate (eg. weight training, swimming, a workout)",Yes,2,1,3,0,2
3/12/2020 13:13:35,20,Female,6-8 hours,6,1,9:30:00 AM,Rarely,"Light (eg. walking, jogging)",Yes,3,3,2,3,3
3/12/2020 13:24:14,20,Female,8-10 hours,4,4,11:00:00 AM,A few times a week,"Light (eg. walking, jogging), Moderate (eg. weight training, swimming, a workout)",No,3,1,2,3,3
3/12/2020 13:28:47,28,Female,6-8 hours,6,2,11:30:00 AM,Once or twice a week,"Moderate (eg. weight training, swimming, a workout)",No,3,2,2,0,3
3/12/2020 13:33:17,20,Male,More than 10 hours,4,4,2:00:00 AM,Rarely,"Moderate (eg. weight training, swimming, a workout)",I prefer not to answer,0,2,0,1,0
3/12/2020 13:34:37,19,Female,8-10 hours,4,4,11:00:00 AM,A few times a week,"Light (eg. walking, jogging)",I prefer not to answer,2,2,0,0,1
3/12/2020 13:38:51,19,Female,4-6 hours,5,3,11:00:00 PM,Everyday,"Moderate (eg. weight training, swimming, a workout)",Yes,1,0,1,0,1
3/12/2020 13:46:13,52,Male,8-10 hours,5,3,9:00:00 PM,Nearly everyday,"Moderate (eg. weight training, swimming, a workout)",I prefer not to answer,1,1,0,0,1
3/12/2020 13:55:38,23,Female,4-6 hours,7,3,11:30:00 PM,A few times a week,"Vigorous (eg. sprints, high exertion workouts)",Yes,3,2,1,3,3
3/12/2020 13:58:04,33,Male,6-8 hours,5,3,11:30:00 AM,Nearly everyday,"Moderate (eg. weight training, swimming, a workout)",Not sure,0,1,0,1,0
3/12/2020 14:00:29,19,Male,6-8 hours,5,3,1:00:00 AM,Nearly everyday,"Moderate (eg. weight training, swimming, a workout)",No,2,2,1,1,1
3/12/2020 14:15:38,20,Female,6-8 hours,6,4,12:00:00 PM,Rarely,"Light (eg. walking, jogging)",No,1,1,2,1,2
3/12/2020 14:21:33,22,Female,8-10 hours,4,5,12:00:00 PM,Rarely,"Light (eg. walking, jogging), Moderate (eg. weight training, swimming, a workout), Vigorous (eg. sprints, high exertion workouts)",I prefer not to answer,2,3,3,2,3
3/12/2020 14:26:22,19,Male,6-8 hours,6,4,1:00:00 AM,Rarely,"Moderate (eg. weight training, swimming, a workout)",Yes,2,1,0,0,1
3/12/2020 14:52:14,23,Female,6-8 hours,5,2,1:00:00 AM,Once or twice a week,"Light (eg. walking, jogging)",Yes,3,2,2,1,2
3/12/2020 15:05:09,20,Male,8-10 hours,6,4,11:30:00 PM,Once or twice a week,"Extreme (eg. CrossFit, extreme cardio / weights)",No,1,1,1,1,0
3/12/2020 15:11:44,20,Female,8-10 hours,6,4,10:30:00 AM,Rarely,"Light (eg. walking, jogging)",Yes,2,1,1,0,2
3/12/2020 15:16:15,26,Female,6-8 hours,7,4,10:15:00 AM,Nearly everyday,"Light (eg. walking, jogging)",No,1,1,0,0,1
3/12/2020 15:21:33,20,Female,8-10 hours,6,4,10:30:00 PM,A few times a week,"Moderate (eg. weight training, swimming, a workout)",Not sure,2,1,1,1,2
3/12/2020 15:22:36,22,Female,6-8 hours,5,3,12:00:00 PM,A few times a week,"Light (eg. walking, jogging)",Yes,1,2,1,1,1
3/12/2020 15:46:02,22,Female,6-8 hours,4,4,12:00:00 PM,A few times a week,"Moderate (eg. weight training, swimming, a workout)",No,3,3,3,1,3
3/12/2020 16:00:26,22,Male,6-8 hours,5,4,10:00:00 AM,Once or twice a week,"Light (eg. walking, jogging)",No,0,1,0,0,0
3/12/2020 16:04:45,18,Male,6-8 hours,5,4,12:00:00 PM,Nearly everyday,"Light (eg. walking, jogging)",Yes,1,2,1,0,3
3/12/2020 16:05:54,26,Female,6-8 hours,5,3,9:30:00 AM,Everyday,"Extreme (eg. CrossFit, extreme cardio / weights)",Yes,2,2,1,2,1
3/12/2020 16:08:56,22,Female,6-8 hours,4,4,12:30:00 PM,Once or twice a week,"Light (eg. walking, jogging)",Not sure,1,1,1,0,2
3/12/2020 16:18:10,53,Female,6-8 hours,4,2,11:00:00 PM,Never,"(I selected ""Never"" in the question above so this question does not apply to me)",No,1,3,1,2,2
3/12/2020 16:18:15,20,Female,4-6 hours,5,3,1:30:00 AM,A few times a week,"Moderate (eg. weight training, swimming, a workout), Vigorous (eg. sprints, high exertion workouts)",No,3,0,2,0,3
3/12/2020 16:22:04,22,Male,6-8 hours,6,3,9:00:00 PM,Nearly everyday,"Moderate (eg. weight training, swimming, a workout)",Not sure,1,1,1,2,1
3/12/2020 16:22:15,19,Female,4-6 hours,4,4,3:30:00 AM,Rarely,"Light (eg. walking, jogging)",Not sure,1,2,1,3,2
3/12/2020 16:22:32,16,Female,4-6 hours,5,3,12:00:00 PM,Everyday,"Moderate (eg. weight training, swimming, a workout)",Yes,2,3,2,3,3
3/12/2020 16:25:30,18,Male,4-6 hours,5,5,1:00:00 AM,A few times a week,"Moderate (eg. weight training, swimming, a workout)",No,2,2,1,1,1
3/12/2020 16:25:40,18,Female,6-8 hours,5,5,1:00:00 AM,A few times a week,"Light (eg. walking, jogging), Moderate (eg. weight training, swimming, a workout)",No,1,1,1,2,1
3/12/2020 16:27:26,18,Male,6-8 hours,7,5,12:00:00 AM,A few times a week,"Moderate (eg. weight training, swimming, a workout)",No,0,0,0,0,0
3/12/2020 16:35:44,18,Male,6-8 hours,6,3,10:00:00 PM,Rarely,"Light (eg. walking, jogging)",Yes,0,1,0,1,0
3/12/2020 16:36:53,22,Female,6-8 hours,5,3,11:00:00 AM,Nearly everyday,"Extreme (eg. CrossFit, extreme cardio / weights)",Yes,2,2,1,2,3
3/12/2020 16:37:10,18,Female,6-8 hours,4,4,12:30:00 PM,Nearly everyday,"Light (eg. walking, jogging), Moderate (eg. weight training, swimming, a workout)",No,1,1,1,2,2
3/12/2020 16:38:20,22,Male,4-6 hours,5,2,12:00:00 PM,Once or twice a week,"Light (eg. walking, jogging)",No,2,2,1,0,2
3/12/2020 16:39:52,15,Male,Less than 4 hours,4,5,5:00:00 AM,Rarely,"Light (eg. walking, jogging)",No,2,3,3,3,3
